Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z
2024-08-28 05:16:09,-0.0002288818359375,0,0
2024-08-28 05:16:10,-0.0026397705078125,-0.01519775390625,-1.0010986328125
2024-08-28 05:16:13,-0.003509521484375,-0.0128936767578125,-1.001434326171875
2024-08-28 05:16:16,-0.0042877197265625,-0.01531982421875,-1.0018157958984375
2024-08-28 05:16:19,-0.0042266845703125,-0.01416015625,-1.0025482177734375
2024-08-28 05:16:22,-0.004547119140625,-0.0121612548828125,-1.00323486328125
2024-08-28 05:16:25,-0.004364013671875,-0.0150146484375,-1.0026397705078125
2024-08-28 05:16:29,-0.0044708251953125,-0.0147247314453125,-1.0034942626953125
2024-08-28 05:16:32,-0.0058746337890625,-0.0151214599609375,-1.0027313232421875
2024-08-28 05:16:35,-0.008636474609375,0.003570556640625,-1.000457763671875
2024-08-28 05:16:38,-0.00482177734375,-0.0167388916015625,-1.0010528564453125
2024-08-28 05:16:41,-0.0057220458984375,-0.0148468017578125,-1.002471923828125
2024-08-28 05:16:44,-0.005859375,-0.014556884765625,-1.001190185546875
2024-08-28 05:16:47,-0.006195068359375,-0.014617919921875,-1.0022735595703125
2024-08-28 05:16:50,-0.004608154296875,-0.0148773193359375,-1.00128173828125
2024-08-28 05:16:53,-0.005615234375,-0.006134033203125,-1.0015106201171875
2024-08-28 05:16:56,-0.0045623779296875,-0.01776123046875,-1.0021820068359375
2024-08-28 05:16:59,-0.005126953125,-0.014556884765625,-1.0011138916015625
2024-08-28 05:17:03,-0.006134033203125,-0.0154266357421875,-1.00286865234375
2024-08-28 05:17:06,-0.004150390625,-0.0130157470703125,-1.0033721923828125
2024-08-28 05:17:09,-0.0041656494140625,-0.0145111083984375,-1.00140380859375
2024-08-28 05:17:12,-0.005615234375,-0.012969970703125,-0.99493408203125
2024-08-28 05:17:15,-0.006439208984375,-0.017578125,-1.00439453125
2024-08-28 05:17:18,-0.004302978515625,-0.018707275390625,-1.00262451171875
2024-08-28 05:17:21,-0.0066070556640625,-0.0145721435546875,-1.0005035400390625
2024-08-28 05:17:24,-0.0066680908203125,-0.015045166015625,-1.002593994140625
2024-08-28 05:17:27,-0.005401611328125,-0.01776123046875,-1.000518798828125
2024-08-28 05:17:30,-0.0049591064453125,-0.0156707763671875,-1.0019683837890625
2024-08-28 05:17:33,-0.005645751953125,-0.0149078369140625,-1.0008544921875
2024-08-28 05:17:37,-0.0062255859375,-0.0133056640625,-0.9999847412109375
2024-08-28 05:17:40,-0.0082855224609375,-0.015655517578125,-1.002288818359375
2024-08-28 05:17:43,-0.0066986083984375,-0.013153076171875,-1.0027313232421875
2024-08-28 05:17:46,-0.0040130615234375,-0.0155487060546875,-1.0004730224609375
2024-08-28 05:17:49,-0.0014801025390625,-0.02008056640625,-1.0028076171875
2024-08-28 05:17:52,-0.00665283203125,-0.021453857421875,-0.9905853271484375
